ae_competentAuthority,ae_homeMemberState,ae_lei_name,ae_lei,ae_lei_cou_code,ae_lei_name_casp,ae_lei_casp,ae_offerCode_cou,ae_DTI_FFG,ae_DTI,wp_url,wp_comments,wp_lastupdate
Austrian Financial Market Authority (FMA),AT,SKYGATE Network GmbH,984500BBFE52FE449926,AT,,,AT|BE|BG|HR|CY|CZ|DK|EE|FI|FR|DE|GR|HU|IE|IT|LV|LT|LU|MT|NL|PL|PT|RO|SK|SI|ES|SE,,,WWW.SKYGATETOKEN.AT,,30/12/2024
Austrian Financial Market Authority (FMA),AT,DGRX Sales GmbH,984500R35C7N1E698319,AT,,,AT|BE|BG|HR|CY|CZ|DK|EE|FI|FR|DE|GR|HU|IS|IE|IT|LV|LI|LT|LU|MT|NL|NO|PL|PT|RO|SK|SI|ES|SE,9791F79LM,D0TGQ87MM,WWW.DESERTGREENER.IO,,01/04/2026
Austrian Financial Market Authority (FMA),AT,Bitpanda GmbH,5493007WZ7IFULIL8G21,AT,,,AT|BE|BG|HR|CY|CZ|DK|EE|FI|FR|DE|GR|HU|IE|IT|LV|LT|LU|MT|NL|PL|PT|RO|SK|SI|ES|SE,,,VISION.NOW,,06/06/2025
Austrian Financial Market Authority (FMA),AT,ATEG Capital FlexCo,529900B1HYZ5I6QQRL52,AT,,,AT|BE|BG|HR|CY|CZ|DK|EE|FI|FR|DE|GR|HU|IE|IT|LV|LT|LU|MT|NL|PL|PT|RO|SK|SI|ES|SE,,,https://ateg-capital.com,,03/10/2025
Austrian Financial Market Authority (FMA),AT,SC STEELCOIN GmbH,529900OX94239BUDFN51,AT,,,AT|BE|BG|HR|CY|CZ|DK|EE|FI|FR|DE|GR|HU|IS|IE|IT|LV|LI|LT|LU|MT|NL|NO|PL|PT|RO|SK|SI|ES|SE,,,https://steelcoin.com/,,27/06/2025
Austrian Financial Market Authority (FMA),AT,ELEVEN ELEVEN MANAGEMENT LIMITED,9845004D111EATCB5A62,GB,,,AT|BE|BG|HR|CY|CZ|DK|EE|FI|FR|DE|GR|HU|IS|IE|IT|LV|LI|LT|LU|MT|NL|NO|PL|PT|RO|SK|SI|ES|SE,,,https://1111-management.com/,,03/11/2025
Austrian Financial Market Authority (FMA),AT,ZKsync Association - Ein Verein zur Foerderung des digitalen Oekosystems ZKsync e.V.,529900SV858GPLFCQK64,AT,,,AT,BCBLPFRBX,HKL2NKLD8,zknation.io,,24/09/2025
Austrian Financial Market Authority (FMA),AT,StarkWare Industries Ltd,254900OKK1G0RL5Q9B59,IL,,,AT|BE|BG|HR|CY|CZ|DK|EE|FI|FR|DE|GR|HU|IS|IE|IT|LV|LI|LT|LU|MT|NL|NO|PL|PT|RO|SK|SI|ES|SE,NLWPNNWQZ,4BFL30DVF,https://starkware.co/,,10/10/2025
Austrian Financial Market Authority (FMA),AT,Biogena GmbH & Co KG,52990050KC7YUM8VD941,AT,Tangany GmbH,529900WKXS5ZPJY9W498,AT|DE,H1L7XKSK2,5HL762TWK,www.biogena.com/biox,,09/06/2026
Austrian Financial Market Authority (FMA),Austria,MOJO Sales GmbH,875500LZF8VIDAKG7213,AT,,,AT|BE|BG|HR|CY|CZ|DK|EE|FI|FR|DE|GR|HU|IS|IE|IT|LV|LI|LT|LU|MT|NL|NO|PL|PT|RO|SK|SI|ES|SE,BDVP97CN2,WPTSOBQPR,https://mojomarketplace.io,,11/08/2026
Cyprus Securities and Exchange Commission (CySEC),CY,Abloxx Token Ltd.,,,,,,,,https://abloxx.com/en/details,,25/03/2025
Cyprus Securities and Exchange Commission (CySEC),CY,Falu Brick Commerce Limited,,,,,,,,https://xyo.network/papers/mica-white-paper,,13/08/2025
Cyprus Securities and Exchange Commission (CySEC),CY,Falu Brick Commerce Limited,,,,,,,,xl1-mica-white-paper.pdf,,21/08/2025
Cyprus Securities and Exchange Commission (CySEC),CY,Planck Network ($PLANCK),,,,,,,,https://plancknetwork.com/whitepaper.pdf ,,17/10/2025
